# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 1 892 27 23500 1677
p 2 17 879 24 25220 1830
p 2 3 894 23 22568 1656
p 2 3 885 32 20517 1586
p 2 15 871 34 24288 1766
p 2 7 882 31 24409 1716
p 2 2 888 30 20591 1588
p 2 5 884 31 24253 1694
p 2 7 888 25 26239 1681
p 2 2 889 29 26198 1702
p 2 6 894 20 25989 1728
p 2 15 886 19 28399 1848
p 2 3 886 31 24206 1673
p 2 8 894 18 26123 1799
p 2 6 884 30 25492 1749
p 2 14 891 15 25275 1884
p 2 8 902 10 23194 1750
p 2 8 897 15 25843 1928
p 2 9 896 15 23501 1889
i 2 920 0 0 27426 4031
p 2 5 915 0 9244 1610
p 2 123 797 0 24511 2828
p 2 7 913 0 11671 1753
p 2 62 858 0 23619 2505
p 2 11 909 0 11829 1673
p 2 39 881 0 22414 2318
p 2 5 915 0 12043 1688
p 2 46 874 0 20093 2361
p 2 25 891 4 12047 1763
p 2 34 885 1 20169 2220
p 2 24 895 1 13311 1790
p 2 40 880 0 19771 2254
p 2 16 904 0 12553 1743
p 2 92 828 0 22868 2498
p 2 19 901 0 10024 1702
p 2 67 853 0 22050 2480
p 2 12 908 0 12317 1709
p 2 81 839 0 24942 2645
p 2 8 911 1 11748 1716
p 2 51 868 1 24740 2429
p 2 9 911 0 12397 1652
p 2 21 898 1 23503 2285
p 2 2 918 0 10764 1738
p 2 61 858 1 23096 2405
p 2 9 911 0 11087 1744
p 2 204 716 0 28965 3094
p 2 14 906 0 11887 1780
p 2 142 778 0 30483 2962
p 2 17 903 0 12483 1697
p 2 122 798 0 30989 2945
p 2 14 906 0 12787 1696
p 2 163 757 0 33472 3080
p 2 22 898 0 14370 1688
p 2 136 784 0 32784 3003
p 2 14 906 0 13967 1749
p 2 100 820 0 32950 2998
p 2 10 910 0 15205 1866
p 2 130 790 0 34256 3077
p 2 9 911 0 13452 1753
p 2 184 736 0 35452 3173
p 2 11 909 0 12924 1802
p 2 115 805 0 36179 3038
p 2 9 911 0 12289 1720
p 2 109 811 0 35437 2911
p 2 10 910 0 15355 1807
p 2 96 824 0 38394 2953
p 2 8 912 0 15177 1774
p 2 101 819 0 36533 2949
p 2 6 914 0 13822 1744
p 2 176 744 0 35723 3142
p 2 4 916 0 10302 1732
p 2 105 815 0 35367 2994
p 2 1 918 1 12915 1719
p 2 164 756 0 35809 3194
p 2 2 915 3 10467 1607
p 2 117 803 0 34169 2943
p 2 4 914 2 9334 1550
p 2 95 825 0 34711 2812
p 2 0 918 2 11413 1593
p 2 80 840 0 33739 2781
p 2 0 920 0 8701 1464
p 2 119 801 0 35515 2941
i 2 920 0 0 31329 3951
p 2 1 882 37 10020 1418
p 2 27 814 79 22921 2063
p 2 1 868 51 10528 1515
p 2 108 676 136 26182 2512
p 2 2 848 70 9207 1434
p 2 93 732 95 26607 2445
p 2 2 864 54 10002 1464
p 2 234 677 9 33615 3116
p 2 23 890 7 12071 1937
p 2 357 557 6 32358 3594
p 2 13 902 5 10527 1737
p 2 164 756 0 24933 3016
p 2 18 892 10 8712 1800
p 2 435 485 0 34729 3889
p 2 370 547 3 36266 3655
p 2 0 903 17 10300 1410
p 2 144 770 6 35835 2884
p 2 0 912 8 10772 1576
p 2 108 765 47 34088 2775
p 2 0 908 12 9103 1474
p 2 75 829 16 25458 2403
p 2 1 902 17 9523 1424
p 2 62 789 69 28388 2395
p 2 1 909 10 12187 1489
p 2 0 621 299 1921 809
p 2 2 889 29 11532 1420
i 2 920 0 0 17532 3537
p 2 0 505 415 1059 646
p 2 575 339 6 24131 3758
p 2 339 569 12 36580 3539
p 2 0 734 186 2848 1044
p 2 0 527 393 1838 743
p 2 245 672 3 38167 3397
p 2 0 751 169 3351 1162
p 2 121 790 9 33007 2740
p 2 0 757 163 2983 1164
p 2 44 852 24 29882 2354
p 2 0 768 152 3024 1121
p 2 0 740 180 2595 985
p 2 339 575 6 34901 3540
p 2 0 721 199 2812 1025
p 2 382 538 0 34672 3633
p 2 0 705 215 2775 1027
p 2 301 618 1 30776 3465
p 2 209 711 0 27539 3276
p 2 0 771 149 3130 1223
p 2 0 614 306 1498 779
p 2 250 670 0 26601 3353
p 2 0 746 174 2543 1145
p 2 106 785 29 24116 2582
p 2 0 735 185 2371 1023
i 2 920 0 0 21282 3598
p 2 0 487 433 1301 653
p 2 347 566 7 24606 3268
p 2 0 724 196 2270 1021
p 2 0 638 282 1528 780
p 2 463 457 0 31049 3686
p 2 0 605 315 1972 889
p 2 71 831 18 26739 2430
p 2 0 688 232 2594 987
p 2 74 809 37 29298 2468
p 2 0 683 237 2636 994
p 2 0 473 447 1287 639
p 2 38 840 42 24370 2161
i 2 920 0 0 42303 4399
p 2 0 635 285 2489 783
p 2 123 795 2 34538 2654
p 2 135 785 0 40701 2744
p 2 174 746 0 30766 2776
p 2 117 803 0 43859 2745
p 2 106 813 1 34254 2568
p 2 118 802 0 42609 2655
p 2 102 818 0 32974 2509
p 2 93 827 0 36405 2473
p 2 35 885 0 24443 2231
p 2 34 885 1 32105 2197
p 2 41 878 1 25827 2232
p 2 76 843 1 32094 2277
p 2 82 837 1 27701 2276
p 2 89 831 0 35308 2381
p 2 78 842 0 27391 2297
p 2 114 806 0 36806 2401
p 2 73 846 1 28998 2241
p 2 66 852 2 35031 2257
p 2 37 882 1 25661 2101
p 2 60 859 1 34197 2191
p 2 26 893 1 25315 2074
p 2 27 893 0 34833 2144
p 2 51 868 1 28567 2206
p 2 51 866 3 37987 2164
p 2 92 826 2 33780 2298
p 2 63 857 0 41087 2273
p 2 61 858 1 31554 2222
p 2 103 817 0 37342 2351
p 2 96 824 0 27802 2277
p 2 40 880 0 35011 2160
p 2 36 881 3 27829 2141
p 2 35 885 0 37220 2248
p 2 56 864 0 32907 2254
p 2 58 862 0 38942 2270
p 2 77 843 0 33761 2335
p 2 122 798 0 43623 2539
p 2 68 851 1 38272 2345
p 2 76 844 0 45971 2378
p 2 103 817 0 38342 2450
p 2 119 801 0 45276 2565
p 2 95 825 0 33977 2444
p 2 60 860 0 36488 2319
p 2 49 870 1 29505 2261
p 2 49 871 0 36048 2234
p 2 49 870 1 30204 2223
p 2 67 853 0 38948 2370
p 2 78 842 0 36138 2314
p 2 95 823 2 41347 2285
p 2 74 846 0 39765 2313
p 2 77 843 0 45527 2357
p 2 98 820 2 35472 2328
p 2 85 834 1 38201 2187
p 2 26 890 4 30565 2053
p 2 17 903 0 41449 2169
p 2 43 875 2 28142 2002
p 2 46 874 0 36337 2121
p 2 54 864 2 32087 2125
p 2 66 853 1 42950 2289
p 2 45 871 4 33787 2096
p 2 87 831 2 41328 2274
p 2 87 830 3 27611 2056
p 2 67 850 3 23974 1914
i 2 920 0 0 45326 4229
p 2 0 507 413 2754 644
p 2 0 307 613 754 423
p 2 121 339 460 8204 1306
p 2 50 358 512 7401 1059
p 2 0 346 574 1331 510
i 2 920 0 0 29624 4101
p 2 177 743 0 36905 3232
p 2 270 645 5 25273 3434
p 2 568 352 0 12023 3416
p 2 759 161 0 17592 4051
p 2 458 462 0 29597 4076
p 2 629 291 0 15226 3771
p 2 1 856 63 4140 1427
i 2 920 0 0 26147 4266
p 2 334 586 0 26957 3842
p 2 156 764 0 27357 3346
p 2 188 732 0 27127 3441
p 2 234 686 0 26981 3510
i 2 920 0 0 20031 3835
i 2 920 0 0 27859 3948
p 2 137 782 1 27663 2853
p 2 361 559 0 34380 3801
p 2 310 610 0 32725 3469
p 2 260 659 1 29788 3156
p 2 189 731 0 32816 3015
p 2 264 653 3 34439 3326
p 2 213 706 1 33107 3031
p 2 207 689 24 26585 2869
p 2 176 744 0 29943 2879
p 2 45 875 0 21826 2202
i 2 920 0 0 14439 3311
p 2 0 610 310 1558 706
p 2 0 613 307 1300 699
i 2 920 0 0 16697 3312
i 2 920 0 0 29602 3797
p 2 0 518 402 1946 634
